姓名,性别,出生年份,出生地,长度,名,名1,笔画1,偏旁1,拼音1,常用1,名2,笔画2,偏旁2,拼音2,常用2
邢雅,女,2006,湖北省阳新县,2,雅,雅,12,隹,yǎ,1,雅,0,0,0,0
徐安庆,男,1963,江西临川,3,安庆,安,6,宀,ān,1,庆,6,广,qìng,1
徐晨曦,女,2006,山东新泰,3,晨曦,晨,11,日,chén,1,曦,20,日,xī,3
李希凡,男,1927,北京通州,3,希凡,希,7,巾,xī,1,凡,3,几,fán,1
崔璨,男,2006,河北省秦皇岛市,2,璨,璨,17,王,càn,3,璨,0,0,0,0
李晓锋,男,1979,安徽省太和县,3,晓锋,晓,10,日,xiǎo,1,锋,12,钅,fēng,1
尹冬苟,男,1972,江西吉水县,3,冬苟,冬,5,冫,dōng,1,苟,8,艹,gǒu,2
叶森茂,男,1930,福建省福州市,3,森茂,森,12,木,sēn,1,茂,8,艹,mào,1
江员发,男,1967,江西景德镇,3,员发,员,7,口,yuán,1,发,5,又,fā,1
周旬,男,1959,重庆巴南,2,旬,旬,6,日,xún,1,旬,0,0,0,0
张时贵,男,1966,福建福鼎,3,时贵,时,7,日,shí,1,贵,9,贝,guì,1
夏国富,男,1951,安徽贵池,3,国富,国,8,囗,guó,1,富,12,宀,fù,1
程曾厚,男,1937,江苏无锡,3,曾厚,曾,12,曰,céng,1,厚,9,厂,hòu,1
